# P, Q, R - are the transition branches.
# Units: wavenumbers in cm^-1.
# Columns: P, Q, R = line-center wavenumbers; J = rotational quantum number.
J,P,Q,R
0,nan,nan,23097.81
1,nan,23074.117,23121.849
2,23026.969,23074.414,23146.019
3,23003.859,23074.791,23170.276
4,22981.031,23075.32,23194.595
5,22958.515,23075.933,23218.894
6,22936.301,23076.609,23243.133
7,22914.41,23077.358,23267.217
8,22892.81,23078.04,23291.097
9,22871.526,23078.716,23314.689
10,22850.471,23079.297,23337.883
11,22829.681,23079.714,23360.606
12,22809.1,23079.931,23382.757
13,22788.67,23079.841,23404.181
14,22768.361,23079.371,23424.81
15,22748.064,23078.412,23444.458
16,22727.744,23076.867,23462.99
17,22707.275,23074.636,23480.239
18,22686.558,23071.523,23496.023
19,22665.44,23067.38,23510.103
20,22643.788,23062.041,23522.261
21,22621.439,23055.28,23532.195
22,22598.179,23046.834,23539.628
23,22573.743,23036.414,23544.176
24,nan,23023.721,23545.476
25,22520.188,23008.278,nan
26,22490.398,nan,nan
